
2025-07-29 21:42:31 | INFO     | database_manager     | Calculated OEE: 44.8% (A:100.0% × P:83.2% × Q:53.8%)
2025-07-29 21:42:32 | INFO     | main                 | Detection triggered - Operator cycle time: 1.15s
2025-07-29 21:42:33 | INFO     | model_manager        | YOLO detected 1 objects
2025-07-29 21:42:33 | INFO     | inference_engine     | Inference completed in 36.6ms - Status: DEFECT DETECTED
2025-07-29 21:42:33 | WARNING  | inference_engine     | Defects detected: 1 detections found
2025-07-29 21:42:33 | INFO     | database_manager     | Calculated availability: 100.0% (downtime: 0.0s of 207.8s)
2025-07-29 21:42:33 | INFO     | database_manager     | Calculated performance: 84.4% (average of 14 cycles)
2025-07-29 21:42:33 | INFO     | database_manager     | Calculated quality: 50.0% (7 good parts of 14 total)
2025-07-29 21:42:33 | INFO     | database_manager     | Calculated OEE: 42.2% (A:100.0% × P:84.4% × Q:50.0%)
2025-07-29 21:43:48 | INFO     | main                 | Shift #1 ended
2025-07-29 21:43:48 | INFO     | main                 | Final shift metrics - Parts: 0, Defects: 0, OEE: 0.0%
2025-07-29 21:44:06 | INFO     | database_manager     | Calculated availability: 100.0% (downtime: 0.0s of 0.0s)
2025-07-29 21:44:06 | INFO     | database_manager     | Calculated performance: 100.0% (no production cycles yet - using default)
2025-07-29 21:44:06 | INFO     | database_manager     | Calculated quality: 100.0% (0 good parts of 0 total)
2025-07-29 21:44:06 | INFO     | database_manager     | Calculated OEE: 100.0% (A:100.0% × P:100.0% × Q:100.0%)
2025-07-29 21:44:07 | INFO     | main                 | New shift #1 started successfully
2025-07-29 21:44:07 | INFO     | database_manager     | Calculated availability: 100.0% (downtime: 0.0s of 0.0s)
2025-07-29 21:44:07 | INFO     | database_manager     | Calculated performance: 100.0% (no production cycles yet - using default)
2025-07-29 21:44:07 | INFO     | database_manager     | Calculated quality: 100.0% (0 good parts of 0 total)
2025-07-29 21:44:07 | INFO     | database_manager     | Calculated OEE: 100.0% (A:100.0% × P:100.0% × Q:100.0%)
2025-07-29 21:44:09 | INFO     | main                 | Detection triggered - First cycle of shift
2025-07-29 21:44:09 | INFO     | model_manager        | YOLO detected 1 objects
2025-07-29 21:44:09 | INFO     | inference_engine     | Inference completed in 30.0ms - Status: DEFECT DETECTED
2025-07-29 21:44:09 | WARNING  | inference_engine     | Defects detected: 1 detections found
2025-07-29 21:44:09 | INFO     | database_manager     | Calculated availability: 100.0% (downtime: 0.0s of 2.4s)
2025-07-29 21:44:09 | INFO     | database_manager     | Calculated performance: 100.0% (average of 1 cycles)
2025-07-29 21:44:09 | INFO     | database_manager     | Calculated quality: 0.0% (0 good parts of 1 total)
2025-07-29 21:44:09 | INFO     | database_manager     | Calculated OEE: 0.0% (A:100.0% × P:100.0% × Q:0.0%)
2025-07-29 21:44:11 | INFO     | main                 | Detection triggered - Operator cycle time: 1.94s
2025-07-29 21:44:11 | INFO     | model_manager        | YOLO detected 1 objects
2025-07-29 21:44:11 | INFO     | inference_engine     | Inference completed in 33.0ms - Status: DEFECT DETECTED
2025-07-29 21:44:11 | WARNING  | inference_engine     | Defects detected: 1 detections found
2025-07-29 21:44:11 | INFO     | database_manager     | Calculated availability: 100.0% (downtime: 0.0s of 4.5s)
